id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
5g2yTbu32wlXgiw75MBoh5,0.834,0.546,5,-3.567,1,0.0304,0.21,0,0.792,0.816,95.543,268091,4,live
4Lv0ivAHDfmKIismpP3itZ,0.959,0.578,5,-4.999,1,0.0548,0.00578,2.28e-05,0.985,0.671,135.809,453902,4,live
4MTgeqqNCkfFi3JlxEnVGx,0.623,0.487,9,-15.889,1,0.0596,0.00199,1.18e-05,0.972,0.551,127.464,249000,4,live
31hDPo0ykn74jktqptIIVk,0.478,0.489,3,-11.259,1,0.0285,0.0226,0.0563,0.381,0.537,83.992,256697,3,live
7nxxYieztwoFSpreKRx8uD,0.889,0.528,8,-6.234,1,0.0646,0.144,0.000357,0.865,0.722,83.259,213667,4,live
1Jhm2dD5clKvRQffs2EZ0s,0.912,0.313,4,-6.978,1,0.0605,0.00938,0,0.902,0.493,105.424,210827,4,live
40ahXgQniCZNGHLlZZDFw2,0.343,0.456,4,-18.3,1,0.0463,0.665,0,0.934,0.372,135.26,250293,4,live
6ywHOBNDQYcSl5SEbRWw66,0.798,0.344,9,-8.078,0,0.049,0.0988,0.00185,0.367,0.313,137.688,477027,4,live
3wGTPQl9vJUAhZ3n4DB5uL,0.891,0.338,11,-7.824,1,0.0468,0.000145,0,0.938,0.575,135.927,228720,4,live
1IMg93T8vWZyaYTVeMKyFM,0.912,0.642,0,-7.363,1,0.0412,0.0828,0.0315,0.951,0.77,130.952,235173,4,live
752apbx3IAOrAoi290LLB6,0.793,0.461,9,-6.737,0,0.0907,0.0718,0.0123,0.556,0.677,154.398,242400,4,live
